file,lines_added,lines_deleted,num_commits,num_bug_fixes,num_all_commits,num_developers,num_all_developers,avg_time_between_changes,avg_time_all_versions,avg_expertise,min_expertise
.arcconfig,0,0,0,0,0,0,0,0,0,0,0
.checkstyle,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloHiveRow.java,0,0,0,0,0,0,0,0,0,0,0
.gitattributes,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloHiveConstants.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/LazyAccumuloMap.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloConnectionParameters.java,12,45,1,0,0,1,0,0,0,189.0,189
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/LazyAccumuloRow.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/ColumnEncoding.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloDefaultIndexScanner.java,222,0,2,1,0,2,0,23682173.0,0,403.0,327
.reviewboardrc,2,2,2,0,1,2,1,63514799.0,0,90.5,1
README.md,110,0,2,0,1,2,1,54420860.0,0,329.5,180
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/ColumnMapper.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloIndexLexicoder.java,109,0,3,1,0,2,0,11841086.5,0,403.0,327
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/ColumnMapping.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/ColumnMappingFactory.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloIndexScannerException.java,39,0,2,1,0,2,0,23682173.0,0,403.0,327
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/HiveAccumuloMapColumnMapping.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/HiveAccumuloColumnMapping.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloIndexScanner.java,56,0,2,1,0,2,0,23682173.0,0,403.0,327
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/HiveAccumuloHelper.java,223,174,2,0,1,2,1,25450733.0,0,193.5,189
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/HiveAccumuloRowIdColumnMapping.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/InvalidColumnMappingException.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/HiveColumn.java,0,0,0,0,0,0,0,0,0,0,0
NOTICE,2,9,4,1,1,3,1,19473633.0,0,314.0,180
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/mr/HiveAccumuloRecordReader.java,0,0,0,0,0,0,0,0,0,0,0
RELEASE_NOTES.txt,1785,6843,5,0,1,3,1,15389927.25,0,305.3333333333333,180
.travis.yml,46,0,7,3,0,3,0,8392518.166666666,0,359.6666666666667,225
LICENSE,114,236,5,0,0,5,0,10424224.0,0,317.2,1
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/NoSuchCompareOpException.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/mr/HiveAccumuloSplit.java,1,1,1,1,0,1,0,0,0,479.0,479
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/mr/HiveAccumuloTableInputFormat.java,45,199,1,0,0,1,0,0,0,189.0,189
.gitignore,3,0,6,1,0,4,0,6690606.0,0,230.5,104
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/package-info.java,18,0,1,1,0,1,0,0,0,479.0,479
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/NoSuchPrimitiveComparisonException.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/DoubleCompare.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/CompareOp.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/mr/AccumuloIndexDefinition.java,79,0,2,1,0,2,0,23682173.0,0,403.0,327
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/Equal.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/GreaterThan.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/mr/IndexOutputConfigurator.java,75,0,2,1,0,2,0,23682173.0,0,403.0,327
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloStorageHandler.java,157,69,5,1,0,5,0,9305816.0,0,383.4,189
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/GreaterThanOrEqual.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/mr/package-info.java,22,0,2,1,0,2,0,23682173.0,0,403.0,327
