Name,lines_added,lines_deleted,comments_added,comments_deleted,commits,bug_fixes,avg_time_between_changes,dev_expertise_avg,dev_expertise_min,developer_count,commits_global,avg_time_between_changes_global,developer_count_global
.arcconfig,0,0,0,0,0,0,0,0,0,0,5,5.5,1
.checkstyle,0,0,0,0,0,0,0,0,0,0,4,268.3333333333333,3
.gitattributes,0,0,0,0,0,0,0,0,0,0,4,165.33333333333334,2
.gitignore,8,5,0,0,8,0,55.285714285714285,32.2,2,5,23,128.63636363636363,14
.reviewboardrc,2,2,0,0,2,0,64.0,0.0,0,1,5,400.25,4
.travis.yml,54,17,30,5,9,3,72.875,38.25,2,4,9,72.875,4
LICENSE,46,236,0,0,3,0,113.0,225.33333333333334,51,3,12,220.0909090909091,10
NOTICE,3,11,0,0,4,1,225.33333333333334,84.33333333333333,0,3,15,194.92857142857142,12
README.md,10,8,1,0,2,0,630.0,28.5,0,2,1,0,1
RELEASE_NOTES.txt,3322,7063,26,47,9,0,97.0,68.5,0,4,34,85.72727272727273,15
accumulo-handler/pom.xml,48,28,0,0,9,1,98.0,46.666666666666664,0,6,23,64.95454545454545,15
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloConnectionParameters.java,12,45,0,0,1,0,0,72.0,72,1,3,531.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloDefaultIndexScanner.java,387,223,0,0,4,1,91.33333333333333,35.666666666666664,6,3,4,91.33333333333333,3
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloHiveConstants.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloHiveRow.java,0,0,0,0,0,0,0,0,0,0,2,82.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloIndexLexicoder.java,197,114,0,0,5,1,68.5,35.666666666666664,6,3,5,68.5,3
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloIndexScanner.java,97,57,0,0,4,1,91.33333333333333,35.666666666666664,6,3,4,91.33333333333333,3
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloIndexScannerException.java,67,40,0,0,4,1,91.33333333333333,35.666666666666664,6,3,4,91.33333333333333,3
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloStorageHandler.java,271,231,0,0,7,1,71.83333333333333,132.33333333333334,6,6,10,138.77777777777777,8
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/HiveAccumuloHelper.java,206,175,6,0,2,0,295.0,36.0,0,2,4,354.3333333333333,3
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/LazyAccumuloMap.java,0,0,0,0,0,0,0,0,0,0,2,121.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/LazyAccumuloRow.java,0,0,0,0,0,0,0,0,0,0,4,145.0,4
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/ColumnEncoding.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/ColumnMapper.java,0,0,0,0,0,0,0,0,0,0,3,217.5,3
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/ColumnMapping.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/ColumnMappingFactory.java,0,0,0,0,0,0,0,0,0,0,2,435.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/HiveAccumuloColumnMapping.java,0,0,0,0,0,0,0,0,0,0,2,435.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/HiveAccumuloMapColumnMapping.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/HiveAccumuloRowIdColumnMapping.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/HiveColumn.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/InvalidColumnMappingException.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/mr/AccumuloIndexDefinition.java,131,80,0,0,4,1,91.33333333333333,35.666666666666664,6,3,4,91.33333333333333,3
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/mr/AccumuloIndexedOutputFormat.java,611,365,0,0,6,1,55.2,21.4,0,5,6,55.2,5
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/mr/HiveAccumuloRecordReader.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/mr/HiveAccumuloSplit.java,1,1,0,0,1,1,0,57.0,57,1,3,624.5,3
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/mr/HiveAccumuloTableInputFormat.java,42,199,0,0,1,0,0,72.0,72,1,4,354.0,3
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/mr/HiveAccumuloTableOutputFormat.java,102,160,0,0,5,1,68.5,44.75,6,4,9,156.125,6
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/mr/IndexOutputConfigurator.java,127,76,0,0,4,1,91.33333333333333,35.666666666666664,6,3,4,91.33333333333333,3
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/mr/package-info.java,25,4,0,0,4,1,91.33333333333333,35.666666666666664,6,3,4,91.33333333333333,3
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/package-info.java,17,0,0,0,1,1,0,57.0,57,1,2,1249.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/AccumuloPredicateHandler.java,140,125,0,0,5,1,149.5,77.25,6,4,9,156.125,8
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/AccumuloRangeGenerator.java,184,164,0,0,5,1,68.5,35.666666666666664,6,3,7,208.16666666666666,5
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/NoSuchCompareOpException.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/NoSuchPrimitiveComparisonException.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/PrimitiveComparisonFilter.java,20,21,0,0,4,1,91.33333333333333,35.666666666666664,6,3,8,178.42857142857142,6
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/PushdownTuple.java,1,1,0,0,1,0,0,202.0,202,1,3,325.5,3
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/CompareOp.java,0,0,0,0,0,0,0,0,0,0,2,82.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/DoubleCompare.java,0,0,0,0,0,0,0,0,0,0,2,82.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/Equal.java,0,0,0,0,0,0,0,0,0,0,2,82.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/GreaterThan.java,0,0,0,0,0,0,0,0,0,0,2,82.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/GreaterThanOrEqual.java,0,0,0,0,0,0,0,0,0,0,2,82.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/IntCompare.java,0,0,0,0,0,0,0,0,0,0,2,82.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/LessThan.java,0,0,0,0,0,0,0,0,0,0,2,82.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/LessThanOrEqual.java,0,0,0,0,0,0,0,0,0,0,2,82.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/Like.java,0,0,0,0,0,0,0,0,0,0,2,82.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/LongCompare.java,0,0,0,0,0,0,0,0,0,0,2,82.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/NotEqual.java,0,0,0,0,0,0,0,0,0,0,2,82.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/PrimitiveComparison.java,0,0,0,0,0,0,0,0,0,0,2,82.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/StringCompare.java,0,0,0,0,0,0,0,0,0,0,3,217.5,3
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/package-info.java,17,0,0,0,1,1,0,57.0,57,1,2,1249.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/package-info.java,17,0,0,0,1,1,0,57.0,57,1,2,1249.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/AccumuloCompositeRowId.java,1,1,0,0,1,1,0,57.0,57,1,2,1249.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/AccumuloIndexParameters.java,173,101,0,0,4,1,91.33333333333333,35.666666666666664,6,3,4,91.33333333333333,3
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/AccumuloRowIdFactory.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/AccumuloRowSerializer.java,0,0,0,0,0,0,0,0,0,0,4,145.0,3
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/AccumuloSerDe.java,2,2,0,0,1,0,0,564.0,564,1,4,272.6666666666667,4
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/AccumuloSerDeParameters.java,26,19,0,0,3,0,9.0,25.0,6,2,7,165.5,5
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/CompositeAccumuloRowIdFactory.java,5,4,0,0,3,1,147.5,43.0,0,3,5,339.25,5
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/DefaultAccumuloRowIdFactory.java,6,5,0,0,4,1,98.33333333333333,45.0,0,4,6,271.4,6
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/TooManyAccumuloColumnsException.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/TooManyHiveColumnsException.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/package-info.java,25,4,0,0,4,1,91.33333333333333,35.666666666666664,6,3,4,91.33333333333333,3
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestAccumuloConnectionParameters.java,0,0,0,0,0,0,0,0,0,0,2,294.0,2
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestAccumuloDefaultIndexScanner.java,393,219,0,0,4,1,91.33333333333333,35.666666666666664,6,3,4,91.33333333333333,3
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestAccumuloHiveRow.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestAccumuloIndexLexicoder.java,299,186,0,0,6,1,54.8,33.75,6,4,6,54.8,4
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestAccumuloIndexParameters.java,192,112,0,0,3,0,9.0,25.0,6,2,3,9.0,2
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestAccumuloStorageHandler.java,11,4,0,0,4,0,29.0,40.666666666666664,6,3,5,265.5,4
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestHiveAccumuloHelper.java,133,34,0,0,1,0,0,72.0,72,1,3,384.0,2
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestLazyAccumuloMap.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestLazyAccumuloRow.java,0,0,0,0,0,0,0,0,0,0,2,177.0,2
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/columns/TestColumnEncoding.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/columns/TestColumnMapper.java,0,0,0,0,0,0,0,0,0,0,2,50.0,2
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/columns/TestColumnMappingFactory.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/columns/TestHiveAccumuloColumnMapping.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/columns/TestHiveRowIdColumnMapping.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/mr/TestHiveAccumuloTableInputFormat.java,26,10,0,0,1,0,0,72.0,72,1,4,354.0,3
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/mr/TestHiveAccumuloTableOutputFormat.java,12,16,0,0,1,0,0,72.0,72,1,5,265.5,4
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/mr/TestHiveAccumuloTypes.java,15,14,0,0,3,1,394.0,102.0,2,2,4,468.3333333333333,3
