Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,CountPathMin,CountPathMean,CountPathMax,MaxNestingMin,MaxNestingMean,MaxNestingMax
File,ACLConfigurationParser.java,11.0,0.0,11.0,0.0,3.0,3.0,3.0,2.0,1.0,7.5,0.0,1.0,0.0,3.0,10.0,10.0,2.0,10.0,0.0,3.0,0.0,7.0,167.0,22.0,125.0,38.0,70.0,20.0,57.0,89.0,37.0,58.0,11.0,11.0,13.0,1.0,22.5,0.16,29.0,29.0,32.0,22.0,1.0,3.9,13.0,1.0,4.4,12.0,1.0,5.8,40.0,0.0,0.9,3.0
File,AMReporter.java,12.0,0.0,11.0,1.0,2.0,2.0,2.0,1.0,1.0769230769230769,12.076923076923077,0.07692307692307693,10.0,0.0,1.0,39.0,39.0,33.0,39.0,11.0,2.0,4.0,22.0,604.0,69.0,475.0,179.0,248.0,60.0,231.0,319.0,162.0,190.0,7.0,7.0,9.0,1.8461538461538463,20.23076923076923,0.13,76.0,76.0,79.0,41.0,0.0,4.513513513513513,18.0,0.0,4.702702702702703,21.0,1.0,2.2432432432432434,12.0,0.0,0.6756756756756757,4.0
File,ASTBuilder.java,17.0,1.0,16.0,1.0,5.0,2.0,5.0,1.0,1.0,30.0,0.0,1.0,14.0,1.0,19.0,4.0,1.0,18.0,0.0,0.0,0.0,18.0,395.0,37.0,326.0,72.0,246.0,32.0,150.0,184.0,68.0,132.0,66.0,9.0,66.0,1.0,72.0,0.1,95.0,35.0,95.0,23.0,1.0,10.894736842105264,47.0,1.0,5.578947368421052,28.0,1.0,5.421052631578948,62.0,0.0,0.3157894736842105,2.0
File,ASTConverter.java,18.0,1.0,15.0,2.0,4.0,4.0,4.0,1.0,1.0,15.25,0.0,8.0,2.0,2.0,41.0,39.0,26.0,41.0,12.0,9.0,3.0,17.0,931.0,106.0,726.0,254.0,457.0,99.0,383.0,559.0,263.0,369.0,20.0,17.0,21.0,1.5,23.125,0.14,159.0,148.0,174.0,55.0,2.0,6.956521739130435,27.0,1.0,9.217391304347826,49.0,1.0,304.9130434782609,6748.0,0.0,1.608695652173913,5.0
File,ASTErrorNode.java,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,1.0,0.0,1.0,5.0,5.0,1.0,5.0,0.0,0.0,0.0,5.0,49.0,8.0,21.0,18.0,6.0,20.0,12.0,18.0,13.0,5.0,1.0,1.0,1.0,3.0,0.0,0.95,5.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
File,ASTNode.java,10.0,1.0,8.0,1.0,2.0,2.0,3.0,1.0,2.0,7.0,0.5,1.0,0.0,1.0,26.0,26.0,7.0,26.0,0.0,8.0,0.0,18.0,349.0,52.0,240.0,75.0,133.0,57.0,123.0,178.0,67.0,129.0,11.0,11.0,15.0,1.5,77.5,0.24,58.0,58.0,71.0,32.0,0.0,8.212121212121213,60.0,1.0,4.303030303030303,23.0,1.0,4.151515151515151,37.0,0.0,0.8181818181818182,5.0
File,ASTNodeOrigin.java,7.0,0.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,6.0,6.0,5.0,6.0,0.0,0.0,0.0,6.0,95.0,9.0,31.0,14.0,10.0,55.0,16.0,23.0,13.0,10.0,1.0,1.0,1.0,1.0,67.0,1.77,6.0,6.0,6.0,6.0,2.0,2.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
File,ATSHook.java,19.0,1.0,16.0,2.0,2.0,2.0,2.0,1.0,1.1666666666666667,15.5,0.0,10.0,1.0,11.0,15.0,24.0,29.0,25.0,3.0,4.0,2.0,16.0,480.0,47.0,388.0,148.0,255.0,54.0,229.0,291.0,139.0,204.0,10.0,8.0,10.0,1.6666666666666667,17.833333333333332,0.14,56.0,54.0,57.0,26.0,0.0,7.9375,46.0,1.0,10.0625,38.0,1.0,11.75,128.0,0.0,1.3125,4.0
File,AbortDroneException.java,3.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,29.0,1.0,10.0,5.0,3.0,18.0,4.0,7.0,5.0,2.0,1.0,1.0,1.0,2.0,0.0,1.8,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File,AbortTxnEvent.java,8.0,0.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,51.0,6.0,16.0,10.0,3.0,29.0,8.0,11.0,8.0,3.0,1.0,1.0,1.0,2.0,0.0,1.81,2.0,2.0,2.0,2.0,2.0,4.5,7.0,1.0,4.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0
File,AbortTxnHandler.java,5.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,10.5,0.0,1.0,0.0,0.0,3.0,3.0,0.0,3.0,1.0,0.0,0.0,2.0,42.0,5.0,20.0,11.0,6.0,17.0,10.0,14.0,9.0,6.0,1.0,1.0,1.0,2.0,0.0,0.85,3.0,3.0,3.0,3.0,1.0,4.333333333333333,9.0,1.0,8.0,17.0,1.0,1.3333333333333333,2.0,0.0,0.3333333333333333,1.0
File,AbortTxnHandler.java,19.0,2.0,17.0,0.0,2.0,2.0,2.0,1.0,1.0,10.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,55.0,4.0,30.0,18.0,12.0,21.0,18.0,21.0,15.0,8.0,2.0,2.0,2.0,2.0,0.0,0.7,2.0,2.0,2.0,1.0,1.0,4.333333333333333,9.0,1.0,8.0,17.0,1.0,1.3333333333333333,2.0,0.0,0.3333333333333333,1.0
File,AbortTxnMessage.java,3.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,4.5,0.5,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,36.0,5.0,7.0,4.0,1.0,24.0,3.0,5.0,4.0,1.0,1.0,1.0,1.0,2.5,37.5,3.43,1.0,1.0,1.0,1.0,0.0,1.5454545454545454,4.0,1.0,1.3636363636363635,3.0,0.0,0.9090909090909091,2.0,0.0,0.18181818181818182,1.0
File,AbortTxnRequest.java,8.0,0.0,8.0,1.0,2.0,2.0,2.0,1.0,2.2,10.0,0.0,6.0,3.0,8.0,41.0,40.0,7.0,43.0,1.0,2.0,0.0,40.0,497.0,73.0,397.0,118.0,217.0,33.0,186.0,278.0,104.0,188.0,8.0,8.0,14.0,1.4,14.2,0.08,90.0,85.0,97.0,59.0,0.0,3.135135135135135,10.0,1.0,2.864864864864865,12.0,1.0,2.7027027027027026,11.0,0.0,0.6756756756756757,3.0
File,AbortTxnsDesc.java,5.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,36.0,0.0,13.0,8.0,3.0,23.0,7.0,10.0,8.0,2.0,1.0,1.0,1.0,2.0,0.0,1.77,2.0,2.0,2.0,2.0,1.0,2.3333333333333335,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
File,AbortTxnsRequest.java,8.0,0.0,7.0,0.0,2.0,2.0,2.0,1.0,2.2,11.2,0.0,6.0,3.0,5.0,39.0,38.0,4.0,41.0,1.0,2.0,0.0,38.0,438.0,67.0,346.0,110.0,164.0,28.0,154.0,236.0,101.0,149.0,6.0,6.0,9.0,1.4,8.8,0.08,75.0,75.0,80.0,51.0,0.0,2.4571428571428573,7.0,1.0,2.5714285714285716,12.0,1.0,2.057142857142857,9.0,0.0,0.7428571428571429,4.0
File,AbstractBucketJoinProc.java,39.0,3.0,32.0,3.0,7.0,7.0,8.0,4.0,2.0,42.0,2.0,1.0,2.0,0.0,12.0,10.0,1.0,12.0,0.0,4.0,3.0,5.0,521.0,52.0,401.0,157.0,239.0,69.0,197.0,287.0,139.0,208.0,27.0,27.0,30.0,1.0,73.0,0.17,76.0,76.0,83.0,39.0,0.0,4.5,11.0,1.0,12.1,46.0,0.0,107.5,844.0,0.0,3.1,6.0
